BPR1,BPR2,PR_HPC,PR_IPC,PR_LPC,TIT,TSCOR,TSF,TSFC,TSNoxR,SFC
0.1954,0.1954,5.656,4.377,4.057,2004,0.02967,177.2,69.64,0.1264,0.08357
0.1953,0.1953,5.654,4.376,4.057,2004,0.02967,177.5,69.54,0.1263,0.08345
0.1953,0.1953,5.653,4.375,4.056,2003,0.02966,177.8,69.44,0.1261,0.08332
0.1952,0.1952,5.652,4.374,4.055,2003,0.02965,178.1,69.33,0.1259,0.0832
0.1952,0.1952,5.65,4.373,4.054,2003,0.02965,178.4,69.23,0.1257,0.08308
0.1951,0.1951,5.649,4.372,4.053,2003,0.02964,178.7,69.13,0.1255,0.08295
0.05,0.5198,8.071,2,7.141,2180,0.0225,187.2,69.55,0.1254,0.08346
0.1951,0.1951,5.648,4.372,4.053,2003,0.02963,179,69.03,0.1253,0.08283
0.195,0.195,5.647,4.371,4.052,2003,0.02963,179.3,68.92,0.1252,0.08271
0.1949,0.1949,5.645,4.37,4.051,2003,0.02962,179.6,68.82,0.125,0.08259
0.1949,0.1949,5.644,4.369,4.05,2003,0.02962,179.9,68.72,0.1248,0.08247
0.1948,0.1948,5.643,4.368,4.049,2003,0.02961,180.2,68.62,0.1246,0.08235
0.1948,0.1948,5.641,4.367,4.049,2003,0.02961,180.5,68.52,0.1244,0.08223
0.1947,0.1947,5.64,4.366,4.048,2003,0.0296,180.8,68.42,0.1243,0.08211
0.1947,0.1947,5.639,4.365,4.047,2002,0.02959,181.1,68.32,0.1241,0.08199
0.1946,0.1946,5.637,4.364,4.046,2002,0.02959,181.4,68.22,0.1239,0.08187
0.1945,0.1945,5.636,4.363,4.045,2002,0.02958,181.7,68.13,0.1237,0.08175
0.05,0.517,8.061,2,7.121,2180,0.02235,190.4,68.54,0.1236,0.08224
0.1945,0.1945,5.635,4.363,4.045,2002,0.02958,182.1,68.03,0.1236,0.08163
0.1944,0.1944,5.634,4.362,4.044,2002,0.02957,182.4,67.93,0.1234,0.08152
0.1944,0.1944,5.632,4.361,4.043,2002,0.02957,182.7,67.83,0.1232,0.0814
0.1943,0.1943,5.631,4.36,4.042,2002,0.02956,183,67.74,0.123,0.08128
0.1942,0.1942,5.63,4.359,4.041,2002,0.02956,183.3,67.64,0.1229,0.08117
0.1942,0.1942,5.628,4.358,4.041,2002,0.02956,183.6,67.54,0.1227,0.08105
0.1941,0.1941,5.627,4.357,4.04,2002,0.02955,183.9,67.45,0.1225,0.08094
0.1941,0.1941,5.626,4.356,4.039,2001,0.02955,184.2,67.35,0.1224,0.08082
0.194,0.194,5.624,4.355,4.038,2001,0.02954,184.5,67.26,0.1222,0.08071
0.194,0.194,5.623,4.354,4.037,2001,0.02954,184.8,67.16,0.122,0.08059
0.05,0.5141,8.051,2,7.101,2179,0.02222,193.6,67.57,0.1219,0.08108
0.1939,0.1939,5.622,4.354,4.037,2001,0.02953,185.1,67.07,0.1219,0.08048
0.1938,0.1938,5.621,4.353,4.036,2001,0.02953,185.4,66.97,0.1217,0.08037
0.1938,0.1938,5.619,4.352,4.035,2001,0.02953,185.7,66.88,0.1215,0.08026
0.1937,0.1937,5.618,4.351,4.034,2001,0.02952,186,66.79,0.1214,0.08014
0.1937,0.1937,5.617,4.35,4.033,2001,0.02952,186.3,66.69,0.1212,0.08003
0.1936,0.1936,5.615,4.349,4.033,2001,0.02952,186.6,66.6,0.121,0.07992
0.1935,0.1935,5.614,4.348,4.032,2001,0.02951,186.9,66.51,0.1209,0.07981
0.1935,0.1935,5.613,4.347,4.031,2001,0.02951,187.2,66.42,0.1207,0.0797
0.1934,0.1934,5.611,4.346,4.03,2000,0.02951,187.5,66.33,0.1205,0.07959
0.1934,0.1934,5.61,4.345,4.029,2000,0.0295,187.8,66.24,0.1204,0.07948
0.05,0.5113,8.04,2,7.081,2178,0.02209,196.8,66.64,0.1202,0.07997
0.1933,0.1933,5.609,4.345,4.029,2000,0.0295,188.1,66.15,0.1202,0.07937
0.1933,0.1933,5.608,4.344,4.028,2000,0.0295,188.4,66.06,0.1201,0.07927
0.1932,0.1932,5.606,4.343,4.027,2000,0.0295,188.7,65.97,0.1199,0.07916
0.1931,0.1931,5.605,4.342,4.026,2000,0.02949,189,65.88,0.1197,0.07905
0.1931,0.1931,5.604,4.341,4.025,2000,0.02949,189.3,65.79,0.1196,0.07894
0.193,0.193,5.602,4.34,4.025,2000,0.02949,189.6,65.7,0.1194,0.07884
0.193,0.193,5.601,4.339,4.024,2000,0.02949,189.9,65.61,0.1193,0.07873
0.1929,0.1929,5.6,4.338,4.023,2000,0.02949,190.2,65.52,0.1191,0.07863
0.1929,0.1929,5.598,4.337,4.022,1999,0.02948,190.4,65.43,0.119,0.07852
0.1928,0.1928,5.597,4.336,4.021,1999,0.02948,190.7,65.35,0.1188,0.07841
0.05,0.5085,8.03,2,7.061,2177,0.02198,200,65.75,0.1186,0.0789
0.1927,0.1927,5.596,4.336,4.021,1999,0.02948,191,65.26,0.1186,0.07831
0.1927,0.1927,5.595,4.335,4.02,1999,0.02948,191.3,65.17,0.1185,0.07821
0.1926,0.1926,5.593,4.334,4.019,1999,0.02948,191.6,65.09,0.1183,0.0781
0.1926,0.1926,5.592,4.333,4.018,1999,0.02948,191.9,65,0.1182,0.078
0.1925,0.1925,5.591,4.332,4.017,1999,0.02947,192.2,64.91,0.118,0.0779
0.1924,0.1924,5.589,4.331,4.017,1999,0.02947,192.5,64.83,0.1179,0.07779
0.1924,0.1924,5.588,4.33,4.016,1999,0.02947,192.8,64.74,0.1177,0.07769
0.1923,0.1923,5.587,4.329,4.015,1999,0.02947,193.1,64.66,0.1176,0.07759
0.1923,0.1923,5.585,4.328,4.014,1999,0.02947,193.4,64.57,0.1174,0.07749
0.1922,0.1922,5.584,4.327,4.013,1998,0.02947,193.7,64.49,0.1173,0.07739
0.05,0.5057,8.02,2,7.04,2177,0.02187,203.1,64.89,0.1171,0.07787
0.1922,0.1922,5.583,4.327,4.013,1998,0.02947,194,64.4,0.1171,0.07729
0.1921,0.1921,5.582,4.326,4.012,1998,0.02947,194.3,64.32,0.117,0.07718
0.192,0.192,5.58,4.325,4.011,1998,0.02947,194.6,64.24,0.1168,0.07708
0.192,0.192,5.579,4.324,4.01,1998,0.02947,194.9,64.15,0.1167,0.07698
0.1919,0.1919,5.578,4.323,4.009,1998,0.02947,195.2,64.07,0.1165,0.07689
0.1919,0.1919,5.576,4.322,4.009,1998,0.02947,195.5,63.99,0.1164,0.07679
0.1918,0.1918,5.575,4.321,4.008,1998,0.02947,195.8,63.91,0.1163,0.07669
0.1918,0.1918,5.574,4.32,4.007,1998,0.02947,196.1,63.82,0.1161,0.07659
0.1917,0.1917,5.572,4.319,4.006,1998,0.02947,196.4,63.74,0.116,0.07649
0.1916,0.1916,5.571,4.318,4.005,1998,0.02947,196.7,63.66,0.1158,0.07639
0.05,0.5028,8.01,2,7.02,2176,0.02177,206.2,64.07,0.1157,0.07688
0.1916,0.1916,5.57,4.318,4.005,1997,0.02947,197,63.58,0.1157,0.0763
0.1915,0.1915,5.569,4.317,4.004,1997,0.02947,197.3,63.5,0.1155,0.0762
0.1915,0.1915,5.567,4.316,4.003,1997,0.02947,197.5,63.42,0.1154,0.0761
0.1914,0.1914,5.566,4.315,4.002,1997,0.02947,197.8,63.34,0.1152,0.07601
0.1913,0.1913,5.565,4.314,4.001,1997,0.02947,198.1,63.26,0.1151,0.07591
0.1913,0.1913,5.563,4.313,4.001,1997,0.02947,198.4,63.18,0.115,0.07582
0.1912,0.1912,5.562,4.312,4,1997,0.02947,198.7,63.1,0.1148,0.07572
0.1912,0.1912,5.561,4.311,3.999,1997,0.02947,199,63.02,0.1147,0.07563
0.1911,0.1911,5.559,4.31,3.998,1997,0.02947,199.3,62.94,0.1145,0.07553
0.1911,0.1911,5.558,4.309,3.997,1997,0.02948,199.6,62.87,0.1144,0.07544
0.05,0.5,8,2,7,2175,0.02168,209.3,63.27,0.1143,0.07593
0.191,0.191,5.557,4.309,3.996,1996,0.02948,199.9,62.79,0.1143,0.07535
0.1909,0.1909,5.556,4.308,3.996,1996,0.02948,200.2,62.71,0.1141,0.07525
0.1909,0.1909,5.554,4.307,3.995,1996,0.02948,200.5,62.63,0.114,0.07516
0.1908,0.1908,5.553,4.306,3.994,1996,0.02948,200.8,62.56,0.1139,0.07507
0.1908,0.1908,5.552,4.305,3.993,1996,0.02948,201.1,62.48,0.1137,0.07497
0.1907,0.1907,5.55,4.304,3.992,1996,0.02948,201.3,62.4,0.1136,0.07488
0.1906,0.1906,5.549,4.303,3.992,1996,0.02949,201.6,62.33,0.1134,0.07479
0.1906,0.1906,5.548,4.302,3.991,1996,0.02949,201.9,62.25,0.1133,0.0747
